1,1,2
2,2,1
3,2,1
4,2,1
5,3,3
6,4,0
7,1,2
8,4,0
9,3,3
10,5,5
11,6,6
12,7,5
13,2,1
14,6,6
15,5,6
16,6,7
17,2,1
18,6,7
19,5,4
20,5,5
21,2,1
22,5,5
23,2,1
24,1,2
25,7,7
26,4,0
27,7,7
28,5,4
29,5,4
30,2,1
31,5,4
32,5,5
33,2,1
34,3,3
35,4,0
36,2,1
37,5,4
38,1,2
39,2,1
40,4,0
41,2,1
42,5,5
43,5,5
44,1,5
45,5,5
46,5,5
47,5,4
48,5,5
49,3,3
50,5,5
51,3,3
52,3,3
53,7,7
54,5,6
55,7,7
56,8,7
57,5,6
58,5,4
59,3,3
60,4,0
61,5,4
62,4,0
63,5,4
64,4,0
65,7,7
66,5,5
67,4,0
68,5,4
69,5,4
70,4,0
71,5,4
72,1,2
73,5,5
74,5,6
75,6,6
76,6,7
77,4,0
78,6,6
79,5,5
80,8,7
81,7,5
82,5,4
83,6,5
84,4,0
85,6,7
86,6,7
87,4,0
88,4,0
89,7,7
90,4,0
91,5,4
92,3,3
93,3,3
94,7,7
95,1,2
96,8,7
97,1,2
98,3,3
99,5,4
100,5,5
101,7,7
102,5,4
103,8,7
104,2,1
105,6,7
106,4,0
107,4,0
108,5,5
109,5,6
110,2,1
111,6,6
112,5,4
113,6,7
114,2,1
115,3,3
116,1,2
117,3,3
118,1,2
119,6,6
120,3,3
121,7,6
122,5,4
123,1,2
124,5,4
125,1,7
126,1,2
127,7,7
128,5,6
129,1,2
130,4,0
131,4,0
132,6,7
133,1,2
134,5,4
135,6,7
136,5,4
137,1,2
138,7,7
139,2,1
140,1,2
141,5,5
142,5,4
143,5,4
144,2,1
145,5,4
146,1,2
147,5,4
148,3,6
149,6,6
150,3,3
151,5,5
152,4,0
153,4,0
154,5,5
155,7,7
156,6,6
157,5,5
158,1,2
159,2,5
160,3,3
161,6,7
162,3,3
163,3,3
164,5,5
165,5,4
166,6,7
167,3,3
168,3,3
169,5,4
170,7,7
171,7,7
172,6,6
173,6,7
174,3,3
175,2,1
176,3,3
177,7,6
178,2,1
179,3,3
180,5,4
181,5,4
182,2,5
183,5,6
184,8,6
185,5,5
186,3,7
187,6,6
188,6,6
189,3,3
190,6,5
191,5,4
192,5,4
193,1,2
194,1,2
195,4,0
196,8,7
197,5,5
198,5,5
199,6,7
200,7,6
201,5,5
202,6,6
203,3,3
204,3,3
205,5,4
206,3,3
207,6,6
208,7,6
209,5,5
210,5,4
211,5,4
212,3,3
213,6,7
214,7,7
215,1,2
216,7,6
217,5,6
218,6,6
219,6,7
220,4,0
221,6,7
222,5,4
223,2,5
224,1,2
225,5,6
226,5,5
227,4,0
228,6,7
229,7,6
230,1,2
231,7,6
232,5,4
233,5,5
234,7,7
235,6,7
236,5,2
237,2,5
238,2,1
239,5,5
240,6,7
241,7,7
242,2,1
243,5,4
244,5,5
245,6,6
246,4,0
247,5,4
248,6,6
249,6,7
250,5,5
251,1,5
252,3,5
253,2,1
254,5,5
255,6,7
256,6,7
257,5,5
258,7,7
259,4,0
260,1,2
261,7,7
262,6,7
263,2,1
264,2,5
265,3,3
266,5,4
267,2,1
268,5,5
269,1,2
270,8,5
271,2,1
272,3,3
273,6,6
274,4,0
275,6,7
276,4,0
277,5,5
278,6,6
279,6,7
280,5,5
281,3,3
282,6,7
283,1,2
284,5,5
285,3,3
286,5,5
287,5,4
288,6,7
289,2,1
290,4,0
291,2,5
292,5,5
293,2,1
294,6,5
295,6,7
296,5,4
297,5,4
298,6,6
299,6,6
300,3,3
301,7,5
302,5,5
303,8,7
304,6,7
305,7,7
306,8,7
307,5,5
308,6,7
309,1,2
310,6,7
311,1,2
312,5,6
313,2,1
